"","lsoa11","samhi_dec","area_population_density_density_number_of_persons_per_hectare_measures_value","imd_score","single_hc"
"5072","E01005210",3,149.2,36.5661,0.504702194357367
"5073","E01005212",6,75.9,28.95524,0.494252873563218
"5074","E01005213",10,85.5,55.71579,0.50679117147708
"5075","E01005214",4,95,16.32386,0.310957551826259
"5076","E01005215",9,57.6,28.71064,0.297619047619048
"5077","E01005216",8,48,26.64817,0.30278232405892
"5078","E01005217",6,59.8,20.56629,0.237463126843658
"5079","E01005218",7,75.3,30.61879,0.346518987341772
"5080","E01005219",9,84.3,37.30705,0.470524017467249
"5081","E01005220",9,74.2,41.0995,0.31043956043956
"5082","E01005221",8,85.2,39.7821,0.260590500641849
"5083","E01005222",10,49.8,46.20383,0.367892976588629
"5084","E01005223",10,63.1,41.23531,0.360655737704918
"5085","E01005224",9,63.1,45.34833,0.285314685314685
"5086","E01005225",10,71.3,46.62988,0.363201911589008
"5087","E01005226",9,73.9,40.54073,0.319180087847731
"5088","E01005227",10,91.8,48.70237,0.336676217765043
"5089","E01005228",10,42.9,76.31398,0.414569536423841
"5090","E01005229",7,38.7,18.44413,0.223316912972085
"5091","E01005230",7,102.9,44.97795,0.443223443223443
"5092","E01005231",2,153.8,22.722,0.276461295418641
"5093","E01005232",8,21,42.07591,0.347826086956522
"5094","E01005233",4,232.4,46.45299,0.241558441558442
"5095","E01005234",6,101.9,47.87109,0.278041074249605
"5096","E01005235",10,55.9,59.09777,0.372739916550765
"5097","E01005236",5,146.8,44.68269,0.292022792022792
"5098","E01005237",4,123.4,50.20921,0.217636022514071
"5099","E01005238",4,101.6,35.06569,0.170212765957447
"5100","E01005239",9,65.7,63.25512,0.374242424242424
"5101","E01005240",8,53.5,56.60339,0.307078763708873
"5102","E01005241",4,122,28.07038,0.296333002973241
"5103","E01005242",6,141.2,42.53994,0.28968253968254
"5104","E01005243",9,79.3,55.12422,0.423431734317343
"5105","E01005244",3,155.4,40.20521,0.327213822894168
"5106","E01005245",6,76.9,59.07238,0.346727898966705
"5107","E01005246",7,151.4,55.38834,0.302168021680217
"5108","E01005247",10,60.6,23.42599,0.33652312599681
"5109","E01005248",7,39.2,22.94242,0.25130890052356
"5110","E01005249",10,25.3,40.95242,0.36036036036036
"5111","E01005250",10,55.7,51.58305,0.286666666666667
"5112","E01005251",9,53.3,48.22823,0.27172195892575
"5113","E01005252",10,68.9,44.49633,0.305373525557012
"5114","E01005253",10,58,49.55608,0.258215962441315
"5115","E01005254",9,65.8,20.83107,0.285505124450952
"5116","E01005255",10,48.7,63.67619,0.508495145631068
"5117","E01005256",10,25,73.81788,0.326697892271663
"5118","E01005257",10,10.4,74.03715,0.395121951219512
"5119","E01005258",10,57.2,47.03043,0.413572343149808
"5120","E01005259",10,66.8,70.55618,0.418158567774936
"5121","E01005260",10,41.7,21.51305,0.295608108108108
"5122","E01005261",10,65.6,74.35338,0.307219662058372
"5123","E01005262",10,66.9,35.52969,0.385598141695703
"5124","E01005263",10,14,39.55312,0.487272727272727
"5125","E01005264",10,36.8,45.0032,0.317666126418152
"5126","E01005265",10,55.8,45.15353,0.278592375366569
"5127","E01005266",10,60.7,48.26124,0.316167664670659
