"","lsoa11","samhi_dec","area_population_density_density_number_of_persons_per_hectare_measures_value","imd_score","single_hc"
"15499","E01015967",1,23.4,12.33332,0.2081218
"15500","E01015968",4,52.7,8.423491,0.3492586
"15501","E01015969",1,37.1,12.11631,0.3368146
"15502","E01015970",2,53.8,7.827621,0.2016293
"15503","E01015971",4,1.7,24.78018,0.3920705
"15504","E01015972",2,13.1,24.60737,0.3185079
"15505","E01015973",2,29.9,30.76509,0.3045977
"15506","E01015974",1,44.4,9.577734,0.2172352
"15507","E01015975",3,65,18.55311,0.2663477
"15508","E01015976",6,61.3,42.08123,0.3745223
"15509","E01015977",4,4.1,11.72114,0.2142857
"15510","E01015978",1,0.4,11.97108,0.1771894
"15511","E01015979",1,1.8,10.38801,0.1875
"15512","E01015980",1,2.5,5.768617,0.2022472
"15513","E01015982",1,37.1,5.287904,0.1530726
"15514","E01015983",2,45.6,10.93472,0.2740385
"15515","E01015984",2,51.7,9.757957,0.1454918
"15516","E01015985",3,57.1,14.19552,0.2987421
"15517","E01015986",5,70.8,25.9714,0.3032258
"15518","E01015987",2,49.8,20.13062,0.2135417
"15519","E01015988",7,60.2,25.273,0.3704918
"15520","E01015989",3,34.4,14.82508,0.3392857
"15521","E01015990",3,16.8,15.92843,0.2719449
"15522","E01015991",1,29.2,6.55486,0.2136752
"15523","E01015992",2,3.8,17.18689,0.2704082
"15524","E01015993",4,9,16.23939,0.3095975
"15525","E01015994",7,33.4,14.68526,0.311042
"15526","E01015995",3,42.8,6.389071,0.1593496
"15527","E01015996",5,65.4,22.63549,0.2733119
"15528","E01015997",1,15.5,7.295527,0.1172962
"15529","E01015998",1,79.4,9.825528,0.1764706
"15530","E01015999",1,55.9,5.487425,0.1183673
"15531","E01016000",2,41.1,12.21237,0.26
"15532","E01016001",1,75.5,8.836102,0.1793372
"15533","E01016002",1,52.6,6.782904,0.1381958
"15534","E01016003",5,5.3,21.81003,0.3074935
"15535","E01016004",4,5,43.58045,0.323486
"15536","E01016005",2,80,27.0991,0.1916817
"15537","E01016006",6,94.6,52.21616,0.2993827
"15538","E01016007",6,4.6,49.70795,0.1954023
"15539","E01016008",3,86.3,19.01981,0.2652027
"15540","E01016009",5,74.6,35.92308,0.25
"15541","E01016010",5,60,53.90152,0.2206759
"15542","E01016011",1,13,21.76542,0.3323486
"15543","E01016012",2,3.2,33.4436,0.2079741
"15544","E01016013",1,28.2,21.49652,0.3753695
"15545","E01016014",2,67.4,36.49906,0.2923687
"15546","E01016015",1,50.6,21.0638,0.1666667
"15547","E01016016",6,84.4,32.99651,0.3538462
"15548","E01016017",9,52.1,49.667,0.46
"15549","E01016018",6,155.6,32.35413,0.2639257
"15550","E01016019",6,115.8,37.28329,0.2480974
"15551","E01016020",8,60.2,27.79871,0.3083004
"15552","E01016021",4,94.6,22.98791,0.2806723
"15553","E01016022",4,100.8,28.4261,0.2268245
"15554","E01016023",8,99.5,49.19368,0.225539
"15555","E01016024",7,101.6,34.95573,0.2565104
"15556","E01016025",10,33.3,33.07959,0.3402226
"15557","E01016026",3,11,6.184349,0.2470356
"15558","E01016027",2,2.3,5.107119,0.1468531
"15559","E01016028",4,6.9,9.473085,0.2976589
"15560","E01016029",5,2.4,21.70592,0.2691589
"15561","E01016030",7,41.6,33.13308,0.2428161
"15562","E01016031",7,105.5,54.43613,0.443539
"15563","E01016032",7,50.5,51.84007,0.22103
"15564","E01016033",8,76.1,50.21674,0.3523207
"15565","E01016034",3,37.1,20.62926,0.284058
"15566","E01016035",5,57.1,36.90209,0.302578
"15567","E01016036",3,98.6,31.33793,0.2867133
"15568","E01016037",3,97.9,23.89775,0.2902256
"15569","E01016038",3,70.5,28.35294,0.2423208
"15570","E01016039",5,84.3,33.17766,0.3251445
"15571","E01016040",5,84.9,28.19472,0.2892805
"15572","E01016041",6,88.1,31.0531,0.3123249
"15573","E01016042",6,113.3,29.53524,0.2614035
"15574","E01016043",6,64,27.13641,0.2798574
"15575","E01016044",3,111.3,30.34518,0.2867756
"15576","E01016045",2,55.3,22.79563,0.2619048
"15577","E01016046",4,91,22.80416,0.3117089
"15578","E01016047",7,124.9,22.7526,0.2758089
"15579","E01016048",3,66.6,22.00598,0.2986823
"15580","E01016049",8,107.9,40.09833,0.3961187
"15581","E01016050",1,35.3,4.174499,0.1876877
"15582","E01016051",2,34.5,3.702116,0.2195946
"15583","E01016052",1,15.3,6.984565,0.1666667
"15584","E01016053",1,27.7,6.275032,0.2417582
"15585","E01016054",1,9.8,4.168111,0.2365772
"15586","E01016055",3,52.6,17.62512,0.3010753
"15587","E01016056",2,47.2,13.3599,0.3285714
"15588","E01016057",1,36.5,14.45632,0.182243
"15589","E01016058",2,3.7,13.86565,0.2588424
"15590","E01016059",2,71.2,25.83744,0.2951128
"15591","E01016060",1,45,7.192023,0.1958599
"15592","E01016061",4,101,33.37553,0.3242075
"15593","E01016062",6,36.9,34.32673,0.2794613
"15594","E01016063",8,119.3,54.99605,0.4237517
"15595","E01016064",7,37.9,35.63662,0.4151213
"15596","E01016065",4,65.5,18.0506,0.3338583
"15597","E01016066",6,22.9,31.57494,0.3075658
"15598","E01016067",4,43.7,23.95812,0.2887865
"15599","E01016068",7,68.5,36.73289,0.2908546
"15600","E01016069",9,129.2,47.7402,0.3664921
"15601","E01016070",6,1.8,24.62972,0.3146375
"15602","E01016071",6,1.3,26.06194,0.2222222
"15603","E01016072",6,0.7,23.7102,0.2590476
"15604","E01016073",3,1,8.143988,0.2040302
"15605","E01016074",7,1.4,20.6146,0.3914081
"15606","E01016075",5,14.9,16.79584,0.2274306
"15607","E01016076",4,22.3,9.10992,0.2043478
"15608","E01016077",6,19.2,21.72025,0.318612
"15609","E01016078",1,46.3,9.715636,0.2887538
"15610","E01016079",1,47.5,13.33992,0.192623
"15611","E01016080",2,53.3,17.08916,0.2467742
"15612","E01016081",1,45.4,7.200768,0.1534392
"15613","E01016082",1,72.1,8.398726,0.1534483
"15614","E01016083",7,58.1,42.69355,0.3526316
"15615","E01016084",2,50.5,28.08287,0.1851852
"15616","E01016085",1,28.8,4.119189,0.1811146
"15617","E01016086",1,13.9,4.348442,0.2104208
"15618","E01016087",2,41.3,9.183857,0.2478386
"15619","E01016088",4,58.8,15.33548,0.2328308
"15620","E01016089",4,59.4,9.220961,0.3163418
"15621","E01016090",2,61.1,6.70298,0.2298851
"15622","E01016091",1,36.4,4.995738,0.2003257
"15623","E01016092",1,66.3,6.28703,0.2380952
"15624","E01016093",2,3.9,8.427101,0.2466165
"15625","E01016094",2,17.6,9.57952,0.2548701
"15626","E01016095",2,22.1,9.161575,0.2351816
"15627","E01016096",4,50,7.931495,0.3033175
"15628","E01016097",4,63.6,23.61378,0.3532182
"15629","E01016098",6,62.5,24.84962,0.4237537
"15630","E01016099",3,70.9,12.40146,0.236715
"15631","E01016100",4,28.4,19.35841,0.2800609
"15632","E01016101",1,68.9,9.353758,0.2159292
"15633","E01016102",5,55.7,30.25624,0.3306452
"15634","E01016103",1,4.6,9.200915,0.2069565
"15635","E01016104",2,70.2,5.27855,0.1961131
"15636","E01016105",2,35.5,8.479578,0.2972973
"15637","E01016106",3,64.6,11.14258,0.2351946
"15638","E01016107",1,40.8,6.070967,0.2159468
"15639","E01016110",8,18.4,37.75995,0.4910995
"15640","E01016111",10,23.7,59.80527,0.4735915
"15641","E01016112",1,41.7,2.333393,0.2332186
"15642","E01016113",4,65.9,14.50669,0.2541806
"15643","E01016114",8,101,27.5216,0.3140244
"15644","E01016115",5,57.1,21.849,0.2235294
"15645","E01016116",6,60.6,22.71087,0.2906209
"15646","E01016117",10,116.2,37.19081,0.4625144
"15647","E01016118",5,83,17.82382,0.2978723
"15648","E01016119",4,37.9,5.715226,0.1804511
"15649","E01016120",7,23.2,27.27756,0.3288591
"15650","E01016121",3,17.6,8.624972,0.240625
"15651","E01016122",3,17.2,8.23047,0.2447326
"15652","E01016123",2,54.3,11.79223,0.2488189
"15653","E01016124",6,58.8,11.9517,0.2644874
"15654","E01016125",5,84.6,14.88136,0.2399381
"15655","E01016126",3,62.4,9.85939,0.1924959
"15656","E01016127",7,4.4,16.81952,0.364539
"15657","E01016128",6,29.6,16.23746,0.2605505
"15658","E01016129",7,47.3,28.60282,0.3871308
"15659","E01016130",7,39.7,21.42729,0.4456522
"15660","E01016131",7,39.4,10.63803,0.3895275
"15661","E01016132",4,28.2,6.613198,0.2140625
"15662","E01016133",2,19.8,5.451838,0.1910946
"15663","E01016134",3,47.4,11.83962,0.1711027
"15664","E01016135",5,73.1,18.75803,0.2564103
"15665","E01016136",9,34.4,40.6105,0.3060897
"15666","E01016137",4,72.4,24.69974,0.247557
"15667","E01016138",2,42,8.561652,0.2094595
"15668","E01016139",3,58.5,10.1307,0.1834416
"15669","E01016140",8,69,34.15843,0.3338926
"15670","E01016141",5,81,26.72811,0.3540802
"15671","E01016142",3,1,13.00493,0.197556
"15672","E01016143",5,4.8,23.54621,0.260274
"15673","E01016144",5,3.5,9.483007,0.1982609
"15674","E01016145",3,14.9,8.941898,0.1608247
"15675","E01016146",6,8.3,23.72082,0.2957746
"15676","E01016147",4,12.9,10.57483,0.2330623
"15677","E01016148",4,22.6,7.854069,0.1723666
"15678","E01016149",4,1.8,27.04004,0.2832765
"15679","E01016150",7,67.3,32.35302,0.2553542
"15680","E01016151",5,48.7,18.61373,0.2022472
"15681","E01016152",9,50.6,28.86395,0.3275316
"15682","E01016153",8,66.4,38.62202,0.3377265
"15683","E01016154",6,22.1,28.5728,0.316358
"15684","E01016155",8,34,29.89093,0.2520194
"15685","E01016156",4,106.3,17.34775,0.2230653
"15686","E01016157",5,25.5,21.18081,0.2300771
"15687","E01016158",5,30.9,24.88916,0.2715909
"15688","E01016159",6,19.5,40.13066,0.2070312
"15689","E01016160",7,43.1,36.86595,0.3120915
"15690","E01016161",9,52.2,37.9218,0.4266487
"15691","E01016162",2,56.7,12.48083,0.2515432
"15692","E01016163",3,66.2,18.33128,0.2039604
"15693","E01016164",6,63.7,23.8338,0.3065015
"15694","E01016165",3,48.6,14.70822,0.2403846
"15695","E01016166",3,42,13.08413,0.2172414
"15696","E01016167",3,50.5,13.90868,0.2482639
"15697","E01016168",4,45.9,18.61331,0.2857143
"15698","E01016169",2,41.7,7.451546,0.1896552
"15699","E01016170",2,65.5,13.20469,0.2160883
"15700","E01016171",4,73.1,27.43521,0.2476489
"15701","E01016172",2,38.8,5.756975,0.2367973
"15702","E01016173",5,46.7,22.3517,0.3009259
"15703","E01016174",7,58,18.66385,0.2529183
"15704","E01016175",2,39.9,8.589067,0.2121641
"15705","E01016176",2,15,5.472049,0.1704348
"15706","E01016177",4,91.1,24.96696,0.2656
"15707","E01016178",3,72,18.25384,0.2486486
"15708","E01016179",4,35.3,12.33611,0.1821782
"15709","E01016180",3,26.3,6.589209,0.311828
"15710","E01016181",2,1,6.673244,0.287037
"15711","E01016182",3,13.1,3.239385,0.252443
"15712","E01016183",3,54.6,5.067265,0.2616279
"15713","E01016184",1,8.8,4.62674,0.2327189
"15714","E01016185",1,13.3,4.89381,0.3509061
"15715","E01016186",1,1.2,8.239511,0.2339261
"15716","E01016187",1,19.1,0.9942002,0.2428786
"15717","E01016188",1,15.5,5.496635,0.2208775
"15718","E01016190",4,38.6,8.320115,0.2380952
"15719","E01016191",4,33.7,11.33139,0.2442396
"15720","E01016192",7,28.8,7.99823,0.369281
"15721","E01016193",6,66,6.177822,0.3276515
"15722","E01016194",4,12.1,2.489163,0.18591
"15723","E01016195",5,19.7,8.636399,0.2748414
"15724","E01016196",4,7.8,3.207087,0.1292639
"15725","E01016197",6,34.7,10.03694,0.2191781
"15726","E01016198",6,58.2,3.111257,0.3133462
"15727","E01016199",5,51.1,2.198484,0.1829787
"15728","E01016200",2,60.4,4.814631,0.2882562
"15729","E01016201",3,62,6.700615,0.2672566
"15730","E01016202",3,54.3,6.10957,0.4251969
"15731","E01016203",6,49.8,20.66375,0.3654822
"15732","E01016204",5,69.4,10.66028,0.2634855
"15733","E01016205",3,47.6,12.2976,0.2802198
"15734","E01016206",3,32.2,2.730955,0.2637216
"15735","E01016207",10,1.5,22.12606,0.1992188
"15736","E01016208",6,20.1,4.062021,0.3648325
"15737","E01016209",4,15.2,12.40472,0.159132
"15738","E01016210",5,58.9,22.10127,0.2380952
"15739","E01016212",5,64.8,16.06007,0.2008114
"15740","E01016213",4,6.9,7.958619,0.1728972
"15741","E01016214",3,24.5,3.998357,0.1277014
"15742","E01016215",5,91.7,16.48461,0.2333333
"15743","E01016216",5,57,11.50859,0.3172906
"15744","E01016217",6,30.5,10.00153,0.2629758
"15745","E01016218",6,44.3,17.09911,0.3706625
"15746","E01016219",3,42.7,7.174045,0.2275229
"15747","E01016220",5,65.8,12.17833,0.3287197
"15748","E01016221",5,61.1,8.102975,0.3413793
"15749","E01016222",2,39.6,4.55582,0.1988072
"15750","E01016223",6,64.6,14.05538,0.3688272
"15751","E01016224",7,40.2,18.2518,0.3174603
"15752","E01016225",4,31,12.51504,0.2601351
"15753","E01016226",6,40.7,16.27702,0.368
"15754","E01016227",7,15,4.468664,0.1556017
"15755","E01016228",6,16.1,4.351391,0.1968641
"15756","E01016229",5,19,4.516544,0.293279
"15757","E01016230",2,6.7,3.458547,0.3398693
"15758","E01016231",6,40.2,15.30079,0.25
"15759","E01016232",4,41.2,10.70849,0.289689
"15760","E01016233",7,46.5,18.55299,0.3719572
"15761","E01016234",7,3.7,4.94533,0.1830065
"15762","E01016235",6,31.4,3.634397,0.1601643
"15763","E01016236",7,60.7,10.21468,0.2629758
"15764","E01016237",6,65.4,3.559411,0.2093023
"15765","E01016238",2,23.8,7.094151,0.2505176
"15766","E01016239",4,48.6,14.25658,0.2639344
"15767","E01016240",5,50.8,20.39309,0.3095975
"15768","E01016241",5,49.9,17.98553,0.2843895
"15769","E01016242",6,21.9,18.03518,0.3813665
"15770","E01016243",3,51.2,4.224686,0.2432432
"15771","E01016245",3,47.2,1.449816,0.1822272
"15772","E01016246",2,45.6,1.952685,0.2191104
"15773","E01016247",2,39.5,5.452971,0.2514451
"15774","E01016248",7,47.6,15.53134,0.2728873
"15775","E01016249",9,15.2,26.23494,0.5131744
"15776","E01016250",5,30.1,11.18016,0.3658192
"15777","E01016252",3,1,12.66134,0.3358663
"15778","E01016253",3,14.6,4.110112,0.1957774
"15779","E01016254",7,0.9,12.8159,0.3387889
"15780","E01016255",4,0.8,7.393082,0.2358003
"15781","E01016256",2,1.3,5.834918,0.1621622
"15782","E01016257",6,0.6,5.55457,0.2359551
"15783","E01016258",6,14.3,7.291852,0.2929746
"15784","E01016259",3,16.3,6.126591,0.1746575
"15785","E01016260",5,40.1,6.740994,0.1377634
"15786","E01016261",4,20,2.196966,0.1
"15787","E01016262",3,52.9,4.041127,0.1996234
"15788","E01016263",1,2,4.25833,0.1755006
"15789","E01016264",2,0.8,8.211976,0.2651163
"15790","E01016265",2,0.9,8.10525,0.2058824
"15791","E01016266",4,2.1,8.41679,0.2132075
"15792","E01016267",2,28,4.256444,0.1672727
"15793","E01016268",4,42.7,12.0316,0.2259615
"15794","E01016269",4,0.9,8.878586,0.2513274
"15795","E01016270",3,13.7,4.24148,0.1557223
"15796","E01016271",5,56,16.02967,0.281407
"15797","E01016272",3,12.6,9.299973,0.1949153
"15798","E01016273",8,45.8,25.31084,0.3221691
"15799","E01016274",4,31.2,11.11138,0.1484375
"15800","E01016275",5,43.3,12.15659,0.3075734
"15801","E01016276",5,22.5,9.059137,0.2370242
"15802","E01016277",1,0.9,3.672985,0.1726755
"15803","E01016278",1,3.3,3.305081,0.1094891
"15804","E01016279",6,55.2,19.00513,0.3402626
"15805","E01016280",6,34.1,19.72272,0.2314286
"15806","E01016281",4,41.8,7.213838,0.2032374
"15807","E01016282",4,38.2,5.359503,0.2390244
"15808","E01016283",3,3.4,4.696821,0.1443478
"15809","E01016284",3,7.6,4.973417,0.1553398
"15810","E01016285",2,0.5,11.92786,0.2234727
"15811","E01016286",2,1,7.851836,0.2043189
"15812","E01016287",2,0.3,12.34357,0.2111693
"15813","E01016288",1,0.5,11.91348,0.2057057
"15814","E01016289",6,11.8,2.994117,0.1813472
"15815","E01016290",5,30.8,4.570635,0.2337043
"15816","E01016291",5,31.7,3.915637,0.2078488
"15817","E01016292",7,42.1,8.765696,0.2081301
"15818","E01016293",7,2.5,11.88579,0.1890547
"15819","E01016294",5,39.1,7.497926,0.2661538
"15820","E01016295",9,35.3,34.89284,0.3133117
"15821","E01016296",1,39.5,8.743011,0.383812
"15822","E01016297",2,4.7,12.39674,0.2595541
"15823","E01016298",4,0.5,5.674202,0.3865248
"15824","E01016299",1,15.8,5.971043,0.2959502
"15825","E01016300",2,8.1,6.073504,0.3006231
"15826","E01016301",2,0.2,10.75391,0.2049287
"15827","E01016302",3,0.9,7.761758,0.1895735
"15828","E01016303",1,0.5,8.486611,0.2748815
"15829","E01016304",1,0.4,11.76202,0.2857143
"15830","E01016305",2,0.5,9.338607,0.3459552
"15831","E01016306",2,13.4,17.25782,0.2679245
"15832","E01016307",6,19.9,10.34444,0.3122239
"15833","E01016308",3,1.4,5.683394,0.201581
"15834","E01016309",5,1,10.26493,0.2646396
"15835","E01016310",5,33.2,14.42919,0.3861985
"15836","E01016311",7,24.4,12.35728,0.4078144
"15837","E01016312",7,58.4,18.87725,0.3006061
"15838","E01016313",2,17.6,6.298257,0.3087819
"15839","E01016314",2,2.3,3.379135,0.3051823
"15840","E01016315",2,2,6.32514,0.2945302
"15841","E01016316",2,5.7,4.338602,0.2030265
"15842","E01016317",6,26.4,14.21975,0.1647059
"15843","E01016318",3,51.4,3.409755,0.2348243
"15844","E01016319",7,43.9,11.61821,0.3839891
"15845","E01016320",8,44.6,12.91392,0.3579278
"15846","E01016321",9,45.4,12.70349,0.2692939
"15847","E01016322",5,22.2,2.607524,0.1955193
"15848","E01016323",5,5,10.73664,0.2957983
"15849","E01016324",4,2,11.35402,0.2512998
"15850","E01016325",8,53.3,22.90499,0.2881356
"15851","E01016326",3,0.4,12.412,0.2384473
"15852","E01016327",3,1.5,9.278151,0.1825902
"15853","E01016328",4,1.1,13.22236,0.2454672
"15854","E01016329",3,51.8,3.70083,0.2524752
"15855","E01016330",3,63.2,9.627995,0.3654135
"15856","E01016331",5,64.8,13.32768,0.2006745
"15857","E01016332",6,37.4,13.92101,0.4370861
"15858","E01016333",2,3.2,2.300001,0.203252
"15859","E01016334",7,66.7,9.053791,0.2291994
"15860","E01016335",4,52.6,3.454999,0.1723549
"15861","E01016336",7,69.6,24.49039,0.2505219
"15862","E01016337",5,13.8,12.63966,0.2581736
"15863","E01016338",2,43.5,2.253889,0.230148
"15864","E01016339",6,2.7,13.34868,0.2161922
"15865","E01016340",5,25.3,18.75355,0.2424723
"15866","E01016341",5,24.3,11.4663,0.1523438
"15867","E01016342",4,12.3,7.663046,0.2145594
"15868","E01016343",3,53.3,4.564072,0.2231834
"15869","E01016344",8,9.2,15.152,0.3865546
"15870","E01016345",7,6.7,9.408376,0.260223
"15871","E01016346",9,15.8,23.85556,0.5198903
"15872","E01016347",8,24.7,24.07888,0.5363636
"15873","E01016348",7,43,16.44646,0.3732106
"15874","E01016349",3,35.4,3.216381,0.1716102
"15875","E01016350",3,55,3.56611,0.216443
"15876","E01016353",4,74.1,28.25531,0.3831089
"15877","E01016355",1,23.6,16.72082,0.3075949
"15878","E01016356",6,95,25.93216,0.3491828
"15879","E01016357",4,82.9,24.48715,0.3668478
"15880","E01016358",4,62.4,29.66156,0.3364865
"15881","E01016359",3,13.9,27.22289,0.2804878
"15882","E01016360",2,124,26.73037,0.2992228
"15883","E01016361",4,160.5,26.03734,0.2976996
"15884","E01016362",5,53.5,21.25369,0.4639805
"15885","E01016363",4,56.2,40.18155,0.2284908
"15886","E01016364",1,48.9,7.186616,0.2975779
"15887","E01016365",1,39.9,15.55301,0.3359477
"15888","E01016366",2,62.4,17.12021,0.2878561
"15889","E01016367",2,68.3,25.54854,0.3114993
"15890","E01016368",3,39.4,42.16152,0.2862524
"15891","E01016369",3,55,23.39242,0.2535211
"15892","E01016370",1,47.1,8.992974,0.3072289
"15893","E01016371",3,27.8,16.81737,0.2854785
"15894","E01016372",6,54.4,42.21382,0.2677824
"15895","E01016373",3,39.1,29.0342,0.2149533
"15896","E01016374",2,124.1,17.75148,0.3001443
"15897","E01016375",4,132.8,28.21151,0.3353057
"15898","E01016376",3,58.3,18.46358,0.3909774
"15899","E01016377",7,26.4,28.23031,0.3165354
"15900","E01016378",7,72.4,25.02125,0.4358178
"15901","E01016379",1,143.3,17.30412,0.3167539
"15902","E01016380",5,38,10.92407,0.2551929
"15903","E01016381",6,51.7,26.7661,0.2076923
"15904","E01016382",7,27.4,35.23096,0.2682927
"15905","E01016383",6,57,13.0769,0.3004622
"15906","E01016384",6,24.4,6.798765,0.1572848
"15907","E01016385",7,57.5,17.12106,0.2242525
"15908","E01016386",1,14.1,4.967664,0.2306397
"15909","E01016387",1,34.1,4.354431,0.1794872
"15910","E01016388",3,14.3,12.94458,0.2774086
"15911","E01016389",5,18.8,33.60627,0.3005698
"15912","E01016390",4,61.2,24.27809,0.4511873
"15913","E01016391",3,65.6,29.38569,0.3576471
"15914","E01016392",5,74.7,23.01858,0.4121901
"15915","E01016393",3,43.5,16.12723,0.3282209
"15916","E01016394",8,51.6,36.39257,0.2862191
"15917","E01016395",5,38.6,21.90735,0.3787167
"15918","E01016396",8,56.9,39.75141,0.3425414
"15919","E01016397",8,59.6,38.30589,0.3539823
"15920","E01016398",4,112.1,19.0829,0.3041723
"15921","E01016399",4,79.2,14.78708,0.227758
"15922","E01016400",7,68.5,24.75295,0.3582555
"15923","E01016401",3,60,10.58426,0.3389831
"15924","E01016402",1,153,9.928633,0.222395
"15925","E01016403",2,58.6,9.00933,0.2359882
"15926","E01016404",1,150.5,20.17709,0.3008739
"15927","E01016405",1,213.9,17.85708,0.2246154
"15928","E01016406",1,41.2,22.33613,0.2333333
"15929","E01016407",3,24,7.806327,0.2924962
"15930","E01016408",3,21.6,9.815793,0.2495667
"15931","E01016409",6,36,14.59289,0.3406593
"15932","E01016410",2,29.7,7.104287,0.2063733
"15933","E01016411",2,19.5,4.879139,0.2199688
"15934","E01016412",2,63.2,8.662247,0.2153846
"15935","E01016413",1,57.9,9.81449,0.3465784
"15936","E01016414",1,31.1,14.01298,0.3919129
"15937","E01016415",5,77.3,35.39355,0.4046579
"15938","E01016416",1,138.6,19.15012,0.3344
"15939","E01016417",1,119.4,14.4659,0.25
"15940","E01016418",1,116.6,9.495844,0.2081218
"15941","E01016419",4,28.3,21.24381,0.3753281
"15942","E01016420",9,67.9,39.87625,0.3315697
"15943","E01016421",8,15.5,30.01472,0.2591171
"15944","E01016422",5,42.3,26.18307,0.3969231
"15945","E01016423",6,16.1,28.88613,0.3023256
"15946","E01016424",3,32,8.533908,0.1625
"15947","E01016425",2,40,4.826618,0.1778116
"15948","E01016426",2,36.4,4.135805,0.1653386
"15949","E01016427",1,29.2,5.022165,0.2538941
"15950","E01016428",3,36.3,9.780772,0.2586445
"15951","E01016429",1,49.6,4.884035,0.198374
"15952","E01016430",1,23.7,4.175172,0.147929
"15953","E01016431",6,47.3,9.542033,0.2304
"15954","E01016432",4,50.3,7.461341,0.3170347
"15955","E01016433",7,47.1,16.62677,0.344426
"15956","E01016434",6,34.4,21.31088,0.2044118
"15957","E01016435",7,43.5,21.84903,0.2768959
"15958","E01016436",6,45.5,17.06393,0.2664474
"15959","E01016437",3,21.8,21.01999,0.2258687
"15960","E01016438",6,50.9,37.58104,0.3071017
"15961","E01016439",4,16.1,23.27176,0.2260274
"15962","E01016440",4,55.6,28.86902,0.2432432
"15963","E01016441",8,34.8,42.39365,0.2996516
"15964","E01016442",4,9.1,33.21739,0.2712477
"15965","E01016443",6,77.1,44.48825,0.1816514
"15966","E01016444",2,106.7,28.19322,0.1585624
"15967","E01016445",4,88.5,29.20052,0.1698473
"15968","E01016446",1,73.4,25.16715,0.1677704
"15969","E01016447",2,84.5,25.21719,0.1442688
"15970","E01016448",2,46.3,27.53795,0.2629482
"15971","E01016449",3,81.2,31.18382,0.1984
"15972","E01016450",9,47.3,34.53063,0.2647555
"15973","E01016451",9,106.6,39.53392,0.3344316
"15974","E01016452",9,60.8,27.10579,0.3032659
"15975","E01016453",8,39.6,25.81415,0.3439394
"15976","E01016454",9,57,26.77647,0.3256956
"15977","E01016455",8,48,22.40819,0.2546816
"15978","E01016456",2,67.9,35.06464,0.2832551
"15979","E01016457",1,91.4,27.81967,0.1604697
"15980","E01016458",3,52.7,35.42286,0.2495512
"15981","E01016459",1,60.6,30.53179,0.2316547
"15982","E01016460",1,57.1,19.10219,0.1706422
"15983","E01016461",1,46.8,21.06308,0.2754555
"15984","E01016462",1,82.5,30.15737,0.2831325
"15985","E01016463",2,28.4,40.81007,0.2642741
"15986","E01016464",2,98.3,40.39313,0.3125
"15987","E01016465",1,49.5,32.66403,0.2781799
"15988","E01016467",3,83.4,20.56595,0.3177083
"15989","E01016468",1,65.7,11.92337,0.2408293
"15990","E01016469",2,61.5,17.95234,0.3323442
"15991","E01016470",2,57.5,13.93167,0.3613569
"15992","E01016471",2,52.8,17.33743,0.2267206
"15993","E01016472",2,83.8,16.91872,0.2787162
"15994","E01016473",1,52.9,12.78448,0.233244
"15995","E01016474",4,58,30.22352,0.3766546
"15996","E01016475",1,61.1,36.43334,0.2122186
"15997","E01016476",2,62.5,14.19988,0.2778603
"15998","E01016477",2,11.7,19.61637,0.3499511
"15999","E01016478",1,57.6,17.35526,0.2997118
"16000","E01016479",2,48.2,23.24785,0.2452504
"16001","E01016480",6,42.4,33.36882,0.256262
"16002","E01016481",4,7.9,26.00755,0.4377622
"16003","E01016482",2,5.5,17.67974,0.3222222
"16004","E01016483",2,71.5,22.54012,0.2085561
"16005","E01016484",3,82.2,27.53919,0.261426
"16006","E01016485",3,111.4,24.04466,0.2152134
"16007","E01016486",6,12.6,22.81487,0.334375
"16008","E01016487",1,105,22.53343,0.1319149
"16009","E01016488",3,76.4,18.3952,0.3262411
"16010","E01016490",8,60.4,48.79091,0.3902728
"16011","E01016491",2,71.3,13.43178,0.2571429
"16012","E01016492",2,48.3,16.47141,0.2329451
"16013","E01016493",4,70.4,12.04518,0.2892562
"16014","E01016494",2,24.9,16.06108,0.3187879
"16015","E01016495",2,56,13.38324,0.4002933
"16016","E01016496",5,60,25.33893,0.3484321
"16017","E01016497",3,50.4,11.28059,0.1570248
"16018","E01016498",6,76.7,24.23107,0.2720247
"16019","E01016499",6,49.9,31.80472,0.3007968
"16020","E01016500",1,44.8,19.42922,0.2029703
"16021","E01016501",4,84.7,28.0489,0.2935323
"16022","E01016502",3,60.1,22.88594,0.247012
"16023","E01016503",3,88,24.35548,0.3410982
"16024","E01016504",2,49.2,14.47008,0.2283298
"16025","E01016505",4,60.5,29.34348,0.35
"16026","E01016506",2,40.3,18.95727,0.3822441
"16027","E01016507",2,54.5,17.32019,0.3110749
"16028","E01016508",2,47.6,15.01288,0.1933884
"16029","E01016509",3,33.2,16.71616,0.3150242
"16030","E01016510",1,30.8,13.46823,0.1181619
"16031","E01016511",4,55.7,35.06189,0.4245161
"16032","E01016512",2,45,25.91602,0.4239905
"16033","E01016513",1,17.1,8.926271,0.1807432
"16034","E01016514",3,26.7,22.86282,0.4177832
"16035","E01016515",1,51.1,11.26373,0.1682692
"16036","E01016516",1,110,27.68219,0.1513158
"16037","E01016517",1,119.7,25.6117,0.2030568
"16038","E01016518",1,93.5,20.62517,0.2633333
"16039","E01016519",5,36,16.94041,0.4489403
"16040","E01016520",4,41.2,36.91616,0.2268761
"16041","E01016521",1,57.5,24.15573,0.2697161
"16042","E01016522",4,38,2.838721,0.1948424
